Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_majority_voting_fusion,0,0.658 +- 0.07,0.774 +- 0.165,0.312 +- 0.13,0.436 +- 0.16,2.0 +- 0.0,100.0
naive_bayes_3_clusters_majority_voting_fusion,0,0.639 +- 0.074,0.667 +- 0.167,0.456 +- 0.134,0.524 +- 0.1,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.69 +- 0.06,0.796 +- 0.152,0.504 +- 0.147,0.586 +- 0.041,3.0 +- 1.265,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.739 +- 0.054,0.753 +- 0.127,0.702 +- 0.189,0.694 +- 0.083,7.2 +- 1.778,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.725 +- 0.029,0.885 +- 0.06,0.439 +- 0.066,0.584 +- 0.061,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.848 +- 0.034,0.894 +- 0.067,0.756 +- 0.086,0.814 +- 0.047,3.0 +- 1.265,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.868 +- 0.025,0.853 +- 0.058,0.86 +- 0.068,0.853 +- 0.028,7.2 +- 1.778,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.842 +- 0.031,0.908 +- 0.061,0.727 +- 0.101,0.801 +- 0.048,2.0 +- 0.0,100.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.668 +- 0.068,0.794 +- 0.14,0.351 +- 0.168,0.462 +- 0.176,2.0 +- 0.0,75.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.651 +- 0.097,0.68 +- 0.191,0.472 +- 0.155,0.54 +- 0.133,3.0 +- 0.0,75.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.672 +- 0.07,0.805 +- 0.128,0.358 +- 0.176,0.468 +- 0.181,2.0 +- 0.0,50.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.69 +- 0.079,0.724 +- 0.151,0.551 +- 0.174,0.604 +- 0.11,3.0 +- 0.0,50.0
naive_bayes_2_clusters_weighted_membership_fusion,4,0.625 +- 0.102,0.649 +- 0.168,0.511 +- 0.115,0.548 +- 0.079,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_fusion,4,0.6 +- 0.083,0.582 +- 0.14,0.446 +- 0.125,0.495 +- 0.103,3.0 +- 0.0,100.0
naive_bayes_2_clusters_cluster_density_fusion,4,0.684 +- 0.107,0.697 +- 0.166,0.633 +- 0.24,0.626 +- 0.135,2.0 +- 0.0,100.0
naive_bayes_3_clusters_cluster_density_fusion,4,0.652 +- 0.081,0.713 +- 0.183,0.433 +- 0.144,0.519 +- 0.114,3.0 +- 0.0,100.0
naive_bayes_2_clusters_entropy_voting_fusion,4,0.687 +- 0.065,0.733 +- 0.123,0.491 +- 0.228,0.558 +- 0.142,2.0 +- 0.0,100.0
naive_bayes_3_clusters_entropy_voting_fusion,4,0.639 +- 0.074,0.667 +- 0.167,0.456 +- 0.134,0.524 +- 0.1,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.857 +- 0.025,0.848 +- 0.045,0.831 +- 0.063,0.837 +- 0.03,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.872 +- 0.026,0.853 +- 0.044,0.867 +- 0.062,0.858 +- 0.03,7.2 +- 1.778,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.858 +- 0.027,0.849 +- 0.028,0.831 +- 0.072,0.838 +- 0.035,3.0 +- 1.265,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.865 +- 0.03,0.857 +- 0.057,0.844 +- 0.062,0.848 +- 0.033,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.87 +- 0.031,0.856 +- 0.053,0.857 +- 0.079,0.853 +- 0.039,7.2 +- 1.778,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.861 +- 0.032,0.849 +- 0.03,0.837 +- 0.066,0.841 +- 0.04,3.0 +- 1.265,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.871 +- 0.025,0.859 +- 0.033,0.853 +- 0.072,0.854 +- 0.034,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.87 +- 0.034,0.847 +- 0.042,0.867 +- 0.071,0.854 +- 0.043,7.2 +- 1.778,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.87 +- 0.028,0.852 +- 0.042,0.86 +- 0.068,0.854 +- 0.034,3.0 +- 1.265,50.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,124,0.849 +- 0.027,0.82 +- 0.033,0.85 +- 0.059,0.833 +- 0.031,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,124,0.877 +- 0.031,0.858 +- 0.055,0.873 +- 0.053,0.863 +- 0.034,7.2 +- 1.778,100.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,124,0.849 +- 0.03,0.817 +- 0.031,0.853 +- 0.069,0.833 +- 0.037,3.0 +- 1.265,100.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.87 +- 0.029,0.844 +- 0.04,0.87 +- 0.046,0.856 +- 0.032,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.872 +- 0.027,0.848 +- 0.051,0.877 +- 0.069,0.859 +- 0.033,7.2 +- 1.778,75.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.852 +- 0.03,0.823 +- 0.037,0.853 +- 0.059,0.836 +- 0.035,3.0 +- 1.265,75.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.861 +- 0.034,0.83 +- 0.041,0.867 +- 0.057,0.847 +- 0.038,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.871 +- 0.026,0.844 +- 0.042,0.876 +- 0.053,0.858 +- 0.029,7.2 +- 1.778,50.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.851 +- 0.019,0.82 +- 0.041,0.857 +- 0.055,0.836 +- 0.023,3.0 +- 1.265,50.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,124,0.848 +- 0.034,0.816 +- 0.045,0.853 +- 0.067,0.832 +- 0.04,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,124,0.878 +- 0.034,0.866 +- 0.065,0.867 +- 0.053,0.864 +- 0.036,7.2 +- 1.778,100.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,124,0.858 +- 0.033,0.841 +- 0.038,0.84 +- 0.055,0.84 +- 0.039,3.0 +- 1.265,100.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.852 +- 0.025,0.849 +- 0.04,0.817 +- 0.074,0.83 +- 0.037,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.865 +- 0.023,0.83 +- 0.039,0.88 +- 0.038,0.853 +- 0.024,7.2 +- 1.778,75.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.867 +- 0.026,0.852 +- 0.032,0.85 +- 0.068,0.849 +- 0.035,3.0 +- 1.265,75.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.845 +- 0.034,0.828 +- 0.039,0.823 +- 0.073,0.824 +- 0.046,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.874 +- 0.028,0.847 +- 0.049,0.88 +- 0.046,0.861 +- 0.03,7.2 +- 1.778,50.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.839 +- 0.034,0.816 +- 0.039,0.827 +- 0.082,0.819 +- 0.046,3.0 +- 1.265,50.0
