Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_majority_voting_fusion,0,0.479 +- 0.046,0.305 +- 0.042,0.58 +- 0.123,0.398 +- 0.06,2.0 +- 0.0,100.0
naive_bayes_3_clusters_majority_voting_fusion,0,0.4 +- 0.042,0.292 +- 0.027,0.703 +- 0.102,0.411 +- 0.041,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.48 +- 0.045,0.298 +- 0.041,0.54 +- 0.084,0.383 +- 0.054,2.0 +- 0.0,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.594 +- 0.059,0.337 +- 0.08,0.37 +- 0.121,0.35 +- 0.094,8.2 +- 3.124,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.48 +- 0.047,0.304 +- 0.043,0.577 +- 0.131,0.396 +- 0.063,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.738 +- 0.03,0.714 +- 0.13,0.21 +- 0.102,0.313 +- 0.127,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.713 +- 0.012,0.718 +- 0.211,0.083 +- 0.04,0.145 +- 0.063,8.2 +- 3.124,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.74 +- 0.032,0.72 +- 0.163,0.207 +- 0.088,0.315 +- 0.125,2.0 +- 0.0,100.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.481 +- 0.065,0.315 +- 0.042,0.613 +- 0.14,0.412 +- 0.054,2.0 +- 0.0,75.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.371 +- 0.028,0.291 +- 0.022,0.77 +- 0.087,0.422 +- 0.035,3.0 +- 0.0,75.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.48 +- 0.077,0.313 +- 0.044,0.61 +- 0.178,0.406 +- 0.069,2.0 +- 0.0,50.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.368 +- 0.027,0.293 +- 0.02,0.79 +- 0.107,0.427 +- 0.036,3.0 +- 0.0,50.0
naive_bayes_2_clusters_weighted_membership_fusion,4,0.409 +- 0.043,0.308 +- 0.028,0.78 +- 0.09,0.441 +- 0.041,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_fusion,4,0.402 +- 0.041,0.292 +- 0.026,0.703 +- 0.102,0.412 +- 0.041,3.0 +- 0.0,100.0
naive_bayes_2_clusters_cluster_density_fusion,4,0.389 +- 0.045,0.309 +- 0.02,0.837 +- 0.046,0.451 +- 0.025,2.0 +- 0.0,100.0
naive_bayes_3_clusters_cluster_density_fusion,4,0.4 +- 0.042,0.292 +- 0.027,0.703 +- 0.102,0.411 +- 0.041,3.0 +- 0.0,100.0
naive_bayes_2_clusters_entropy_voting_fusion,4,0.432 +- 0.042,0.3 +- 0.028,0.677 +- 0.116,0.415 +- 0.044,2.0 +- 0.0,100.0
naive_bayes_3_clusters_entropy_voting_fusion,4,0.4 +- 0.042,0.292 +- 0.027,0.703 +- 0.102,0.411 +- 0.041,3.0 +- 0.0,100.0
