Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_silhouette_majority_voting_fusion,0,0.552 +- 0.2,0.616 +- 0.283,0.342 +- 0.199,0.399 +- 0.212,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,0,0.526 +- 0.163,0.511 +- 0.179,0.558 +- 0.194,0.51 +- 0.139,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.552 +- 0.114,0.488 +- 0.222,0.358 +- 0.158,0.398 +- 0.159,3.5 +- 0.5,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.552 +- 0.114,0.488 +- 0.222,0.358 +- 0.158,0.398 +- 0.159,3.5 +- 0.5,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.552 +- 0.114,0.488 +- 0.222,0.358 +- 0.158,0.398 +- 0.159,3.5 +- 0.5,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.57 +- 0.123,0.573 +- 0.399,0.183 +- 0.196,0.239 +- 0.212,3.5 +- 0.5,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.637 +- 0.068,0.747 +- 0.304,0.233 +- 0.162,0.338 +- 0.192,3.5 +- 0.5,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.641 +- 0.083,0.655 +- 0.348,0.308 +- 0.233,0.381 +- 0.261,3.5 +- 0.5,100.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.559 +- 0.203,0.588 +- 0.256,0.375 +- 0.18,0.436 +- 0.198,2.0 +- 0.0,75.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.537 +- 0.209,0.535 +- 0.251,0.55 +- 0.198,0.523 +- 0.185,3.0 +- 0.0,75.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.626 +- 0.166,0.614 +- 0.248,0.4 +- 0.258,0.462 +- 0.256,2.0 +- 0.0,50.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.622 +- 0.16,0.584 +- 0.298,0.492 +- 0.265,0.515 +- 0.241,3.0 +- 0.0,50.0
naive_bayes_2_clusters_silhouette_weighted_membership_fusion,4,0.593 +- 0.166,0.672 +- 0.235,0.542 +- 0.306,0.51 +- 0.206,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_weighted_membership_fusion,4,0.596 +- 0.112,0.59 +- 0.176,0.55 +- 0.13,0.548 +- 0.096,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.689 +- 0.088,0.827 +- 0.2,0.417 +- 0.201,0.517 +- 0.19,3.5 +- 0.5,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.685 +- 0.082,0.737 +- 0.143,0.525 +- 0.236,0.565 +- 0.19,3.5 +- 0.5,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.696 +- 0.1,0.802 +- 0.18,0.508 +- 0.237,0.568 +- 0.193,3.5 +- 0.5,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.704 +- 0.089,0.787 +- 0.177,0.458 +- 0.253,0.54 +- 0.212,3.5 +- 0.5,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.7 +- 0.067,0.799 +- 0.115,0.467 +- 0.218,0.547 +- 0.19,3.5 +- 0.5,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.73 +- 0.06,0.794 +- 0.133,0.575 +- 0.192,0.639 +- 0.11,3.5 +- 0.5,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.659 +- 0.118,0.72 +- 0.211,0.433 +- 0.235,0.501 +- 0.217,3.5 +- 0.5,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.659 +- 0.103,0.742 +- 0.208,0.442 +- 0.258,0.497 +- 0.206,3.5 +- 0.5,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.685 +- 0.114,0.768 +- 0.216,0.458 +- 0.168,0.554 +- 0.177,3.5 +- 0.5,50.0
