Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.967 +- 0.045,0.967 +- 0.045,0.976 +- 0.03,0.967 +- 0.043,2.2 +- 0.6,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.967 +- 0.045,0.967 +- 0.045,0.976 +- 0.03,0.967 +- 0.043,2.0 +- 0.0,75.0
nb,0,0.953 +- 0.06,0.953 +- 0.06,0.96 +- 0.055,0.954 +- 0.059,-,100.0
nb,0,0.953 +- 0.06,0.953 +- 0.06,0.96 +- 0.055,0.954 +- 0.059,-,75.0
nb,0,0.96 +- 0.061,0.96 +- 0.061,0.965 +- 0.056,0.96 +- 0.06,-,50.0
svm,0,0.953 +- 0.079,0.953 +- 0.079,0.957 +- 0.078,0.954 +- 0.079,-,100.0
svm,0,0.953 +- 0.079,0.953 +- 0.079,0.957 +- 0.078,0.954 +- 0.079,-,75.0
svm,0,0.953 +- 0.079,0.953 +- 0.079,0.957 +- 0.078,0.954 +- 0.079,-,50.0
lr,0,0.927 +- 0.087,0.927 +- 0.087,0.933 +- 0.085,0.927 +- 0.086,-,100.0
lr,0,0.927 +- 0.087,0.927 +- 0.087,0.933 +- 0.085,0.927 +- 0.086,-,75.0
lr,0,0.947 +- 0.078,0.947 +- 0.078,0.952 +- 0.077,0.947 +- 0.078,-,50.0
dt,0,0.927 +- 0.081,0.927 +- 0.081,0.936 +- 0.079,0.927 +- 0.081,-,100.0
dt,0,0.947 +- 0.083,0.947 +- 0.083,0.955 +- 0.079,0.947 +- 0.083,-,75.0
dt,0,0.94 +- 0.081,0.94 +- 0.081,0.949 +- 0.078,0.941 +- 0.081,-,50.0
rf,0,0.953 +- 0.079,0.953 +- 0.079,0.957 +- 0.078,0.954 +- 0.079,-,100.0
rf,0,0.94 +- 0.081,0.94 +- 0.081,0.949 +- 0.078,0.941 +- 0.081,-,75.0
rf,0,0.947 +- 0.078,0.947 +- 0.078,0.952 +- 0.077,0.947 +- 0.078,-,50.0
gb,0,0.94 +- 0.081,0.94 +- 0.081,0.949 +- 0.078,0.941 +- 0.081,-,100.0
gb,0,0.94 +- 0.081,0.94 +- 0.081,0.949 +- 0.078,0.941 +- 0.081,-,75.0
gb,0,0.94 +- 0.081,0.94 +- 0.081,0.949 +- 0.078,0.941 +- 0.081,-,50.0
xb,0,0.927 +- 0.096,0.927 +- 0.096,0.941 +- 0.083,0.929 +- 0.092,-,100.0
xb,0,0.933 +- 0.079,0.933 +- 0.079,0.944 +- 0.076,0.934 +- 0.078,-,75.0
xb,0,0.947 +- 0.078,0.947 +- 0.078,0.952 +- 0.077,0.947 +- 0.078,-,50.0
