Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.764 +- 0.071,0.66 +- 0.246,0.52 +- 0.21,0.576 +- 0.218,4.6 +- 1.685,50.0
nb,0,0.749 +- 0.062,0.655 +- 0.101,0.597 +- 0.117,0.621 +- 0.103,-,100.0
nb,0,0.747 +- 0.069,0.659 +- 0.115,0.582 +- 0.121,0.615 +- 0.11,-,75.0
nb,0,0.753 +- 0.056,0.677 +- 0.103,0.578 +- 0.093,0.62 +- 0.083,-,50.0
svm,0,0.772 +- 0.05,0.731 +- 0.092,0.549 +- 0.101,0.624 +- 0.098,-,100.0
svm,0,0.773 +- 0.058,0.735 +- 0.115,0.549 +- 0.111,0.625 +- 0.11,-,75.0
svm,0,0.757 +- 0.056,0.705 +- 0.112,0.526 +- 0.094,0.6 +- 0.097,-,50.0
lr,0,0.768 +- 0.049,0.743 +- 0.103,0.518 +- 0.088,0.608 +- 0.089,-,100.0
lr,0,0.759 +- 0.06,0.726 +- 0.125,0.504 +- 0.091,0.593 +- 0.102,-,75.0
lr,0,0.762 +- 0.06,0.733 +- 0.128,0.511 +- 0.081,0.6 +- 0.095,-,50.0
dt,0,0.729 +- 0.08,0.621 +- 0.12,0.612 +- 0.119,0.612 +- 0.109,-,100.0
dt,0,0.691 +- 0.061,0.554 +- 0.087,0.582 +- 0.114,0.566 +- 0.096,-,75.0
dt,0,0.691 +- 0.069,0.559 +- 0.107,0.575 +- 0.115,0.564 +- 0.103,-,50.0
rf,0,0.766 +- 0.061,0.692 +- 0.109,0.593 +- 0.123,0.635 +- 0.111,-,100.0
rf,0,0.77 +- 0.043,0.701 +- 0.095,0.608 +- 0.074,0.648 +- 0.065,-,75.0
rf,0,0.762 +- 0.056,0.693 +- 0.112,0.605 +- 0.048,0.642 +- 0.065,-,50.0
gb,0,0.766 +- 0.055,0.693 +- 0.106,0.604 +- 0.091,0.642 +- 0.085,-,100.0
gb,0,0.754 +- 0.059,0.67 +- 0.102,0.601 +- 0.072,0.631 +- 0.08,-,75.0
gb,0,0.771 +- 0.068,0.697 +- 0.121,0.634 +- 0.078,0.661 +- 0.091,-,50.0
xb,0,0.744 +- 0.049,0.647 +- 0.095,0.616 +- 0.069,0.627 +- 0.062,-,100.0
xb,0,0.738 +- 0.055,0.637 +- 0.097,0.62 +- 0.072,0.624 +- 0.068,-,75.0
xb,0,0.721 +- 0.048,0.614 +- 0.086,0.582 +- 0.051,0.595 +- 0.054,-,50.0
