Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_weighted_membership_entropy_fusion,4,0.967 +- 0.037,0.967 +- 0.037,0.971 +- 0.033,0.967 +- 0.037,2.0 +- 0.0,100.0
nb,0,0.978 +- 0.027,0.978 +- 0.027,0.981 +- 0.023,0.978 +- 0.027,-,100.0
nb,0,0.961 +- 0.043,0.961 +- 0.043,0.968 +- 0.036,0.962 +- 0.043,-,75.0
nb,0,0.95 +- 0.052,0.95 +- 0.052,0.961 +- 0.037,0.951 +- 0.05,-,50.0
svm,0,0.983 +- 0.025,0.983 +- 0.025,0.986 +- 0.021,0.983 +- 0.025,-,100.0
svm,0,0.966 +- 0.027,0.966 +- 0.027,0.972 +- 0.023,0.967 +- 0.027,-,75.0
svm,0,0.977 +- 0.028,0.977 +- 0.028,0.981 +- 0.023,0.977 +- 0.028,-,50.0
lr,0,0.983 +- 0.025,0.983 +- 0.025,0.986 +- 0.022,0.983 +- 0.025,-,100.0
lr,0,0.972 +- 0.028,0.972 +- 0.028,0.976 +- 0.024,0.972 +- 0.028,-,75.0
lr,0,0.977 +- 0.028,0.977 +- 0.028,0.981 +- 0.024,0.977 +- 0.028,-,50.0
dt,0,0.865 +- 0.086,0.865 +- 0.086,0.892 +- 0.056,0.868 +- 0.082,-,100.0
dt,0,0.865 +- 0.099,0.865 +- 0.099,0.902 +- 0.054,0.871 +- 0.09,-,75.0
dt,0,0.888 +- 0.074,0.888 +- 0.074,0.912 +- 0.051,0.891 +- 0.07,-,50.0
rf,0,0.989 +- 0.022,0.989 +- 0.022,0.99 +- 0.019,0.989 +- 0.022,-,100.0
rf,0,0.978 +- 0.027,0.978 +- 0.027,0.981 +- 0.023,0.978 +- 0.027,-,75.0
rf,0,0.972 +- 0.028,0.972 +- 0.028,0.976 +- 0.024,0.972 +- 0.028,-,50.0
gb,0,0.91 +- 0.079,0.91 +- 0.079,0.931 +- 0.051,0.914 +- 0.071,-,100.0
gb,0,0.91 +- 0.093,0.91 +- 0.093,0.931 +- 0.065,0.914 +- 0.084,-,75.0
gb,0,0.933 +- 0.082,0.933 +- 0.082,0.96 +- 0.036,0.937 +- 0.071,-,50.0
xb,0,0.961 +- 0.05,0.961 +- 0.05,0.969 +- 0.037,0.961 +- 0.05,-,100.0
xb,0,0.961 +- 0.05,0.961 +- 0.05,0.969 +- 0.037,0.961 +- 0.05,-,75.0
xb,0,0.956 +- 0.048,0.956 +- 0.048,0.964 +- 0.036,0.955 +- 0.049,-,50.0
