Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_silhouette_majority_voting_fusion,0,0.714 +- 0.035,0.714 +- 0.035,0.985 +- 0.023,0.815 +- 0.037,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,0,0.567 +- 0.079,0.567 +- 0.079,0.905 +- 0.031,0.649 +- 0.069,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.498 +- 0.098,0.498 +- 0.098,0.777 +- 0.141,0.583 +- 0.102,5.0 +- 0.0,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.498 +- 0.098,0.498 +- 0.098,0.777 +- 0.141,0.583 +- 0.102,5.0 +- 0.0,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.498 +- 0.098,0.498 +- 0.098,0.777 +- 0.141,0.583 +- 0.102,5.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.498 +- 0.098,0.498 +- 0.098,0.767 +- 0.134,0.584 +- 0.103,5.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.498 +- 0.098,0.498 +- 0.098,0.767 +- 0.134,0.584 +- 0.103,5.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.498 +- 0.098,0.498 +- 0.098,0.767 +- 0.134,0.584 +- 0.103,5.0 +- 0.0,100.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.714 +- 0.035,0.714 +- 0.035,0.985 +- 0.023,0.815 +- 0.037,2.0 +- 0.0,75.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.561 +- 0.071,0.561 +- 0.071,0.87 +- 0.083,0.641 +- 0.078,3.0 +- 0.0,75.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.72 +- 0.031,0.72 +- 0.031,0.988 +- 0.024,0.825 +- 0.03,2.0 +- 0.0,50.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.556 +- 0.099,0.556 +- 0.099,0.894 +- 0.074,0.645 +- 0.083,3.0 +- 0.0,50.0
naive_bayes_2_clusters_silhouette_weighted_membership_fusion,4,0.956 +- 0.042,0.956 +- 0.042,0.963 +- 0.034,0.956 +- 0.042,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_weighted_membership_fusion,4,0.955 +- 0.033,0.955 +- 0.033,0.963 +- 0.026,0.955 +- 0.033,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.793 +- 0.135,0.793 +- 0.135,0.91 +- 0.028,0.811 +- 0.114,5.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.793 +- 0.135,0.793 +- 0.135,0.91 +- 0.028,0.811 +- 0.114,5.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.793 +- 0.135,0.793 +- 0.135,0.91 +- 0.028,0.811 +- 0.114,5.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.816 +- 0.149,0.816 +- 0.149,0.92 +- 0.023,0.834 +- 0.119,4.9 +- 0.3,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.793 +- 0.155,0.793 +- 0.155,0.919 +- 0.03,0.818 +- 0.123,5.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.805 +- 0.147,0.805 +- 0.147,0.921 +- 0.027,0.828 +- 0.117,5.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.827 +- 0.125,0.827 +- 0.125,0.925 +- 0.037,0.847 +- 0.102,5.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.822 +- 0.128,0.822 +- 0.128,0.92 +- 0.036,0.84 +- 0.105,5.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.805 +- 0.143,0.805 +- 0.143,0.915 +- 0.038,0.824 +- 0.119,5.0 +- 0.0,50.0
