Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_majority_voting_fusion,0,0.469 +- 0.053,0.469 +- 0.053,0.595 +- 0.055,0.504 +- 0.052,2.0 +- 0.0,100.0
naive_bayes_3_clusters_majority_voting_fusion,0,0.483 +- 0.052,0.483 +- 0.052,0.539 +- 0.05,0.49 +- 0.048,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.473 +- 0.062,0.473 +- 0.062,0.565 +- 0.061,0.495 +- 0.062,4.3 +- 2.369,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.48 +- 0.051,0.48 +- 0.051,0.521 +- 0.042,0.479 +- 0.05,2.0 +- 0.0,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.487 +- 0.06,0.487 +- 0.06,0.585 +- 0.056,0.508 +- 0.061,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.544 +- 0.033,0.544 +- 0.033,0.631 +- 0.066,0.568 +- 0.036,4.3 +- 2.369,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.548 +- 0.048,0.548 +- 0.048,0.592 +- 0.059,0.561 +- 0.049,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.532 +- 0.041,0.532 +- 0.041,0.605 +- 0.053,0.552 +- 0.041,2.0 +- 0.0,100.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.478 +- 0.048,0.478 +- 0.048,0.613 +- 0.064,0.519 +- 0.049,2.0 +- 0.0,75.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.496 +- 0.039,0.496 +- 0.039,0.546 +- 0.045,0.506 +- 0.039,3.0 +- 0.0,75.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.481 +- 0.044,0.481 +- 0.044,0.664 +- 0.092,0.535 +- 0.051,2.0 +- 0.0,50.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.512 +- 0.033,0.512 +- 0.033,0.58 +- 0.056,0.531 +- 0.035,3.0 +- 0.0,50.0
naive_bayes_2_clusters_weighted_membership_fusion,4,0.472 +- 0.044,0.472 +- 0.044,0.509 +- 0.039,0.472 +- 0.042,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_fusion,4,0.447 +- 0.085,0.447 +- 0.085,0.537 +- 0.036,0.458 +- 0.075,3.0 +- 0.0,100.0
naive_bayes_2_clusters_weighted_membership_entropy_fusion,4,0.472 +- 0.044,0.472 +- 0.044,0.509 +- 0.039,0.472 +- 0.042,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_entropy_fusion,4,0.464 +- 0.078,0.464 +- 0.078,0.533 +- 0.045,0.47 +- 0.072,3.0 +- 0.0,100.0
naive_bayes_2_clusters_cluster_density_fusion,4,0.464 +- 0.054,0.464 +- 0.054,0.52 +- 0.035,0.471 +- 0.044,2.0 +- 0.0,100.0
naive_bayes_3_clusters_cluster_density_fusion,4,0.464 +- 0.067,0.464 +- 0.067,0.537 +- 0.035,0.473 +- 0.059,3.0 +- 0.0,100.0
naive_bayes_2_clusters_entropy_voting_fusion,4,0.465 +- 0.048,0.465 +- 0.048,0.552 +- 0.057,0.488 +- 0.049,2.0 +- 0.0,100.0
naive_bayes_3_clusters_entropy_voting_fusion,4,0.472 +- 0.049,0.472 +- 0.049,0.519 +- 0.043,0.473 +- 0.052,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.552 +- 0.036,0.552 +- 0.036,0.559 +- 0.036,0.553 +- 0.036,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.517 +- 0.035,0.517 +- 0.035,0.532 +- 0.047,0.521 +- 0.038,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.535 +- 0.052,0.535 +- 0.052,0.544 +- 0.054,0.537 +- 0.052,4.3 +- 2.369,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.54 +- 0.038,0.54 +- 0.038,0.555 +- 0.045,0.544 +- 0.04,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.532 +- 0.037,0.532 +- 0.037,0.548 +- 0.041,0.536 +- 0.037,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.524 +- 0.047,0.524 +- 0.047,0.545 +- 0.054,0.53 +- 0.047,4.3 +- 2.369,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.529 +- 0.038,0.529 +- 0.038,0.558 +- 0.053,0.537 +- 0.04,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.5 +- 0.044,0.5 +- 0.044,0.517 +- 0.044,0.504 +- 0.042,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.513 +- 0.036,0.513 +- 0.036,0.555 +- 0.069,0.525 +- 0.042,4.3 +- 2.369,50.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,124,0.551 +- 0.038,0.551 +- 0.038,0.56 +- 0.038,0.553 +- 0.038,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,124,0.522 +- 0.035,0.522 +- 0.035,0.537 +- 0.046,0.526 +- 0.038,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,124,0.545 +- 0.039,0.545 +- 0.039,0.566 +- 0.041,0.551 +- 0.037,4.3 +- 2.369,100.0
