Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_majority_voting_fusion,0,0.333 +- 0.0,0.333 +- 0.0,1.0 +- 0.0,0.5 +- 0.0,2.0 +- 0.0,100.0
naive_bayes_3_clusters_majority_voting_fusion,0,0.647 +- 0.099,0.647 +- 0.099,0.909 +- 0.045,0.711 +- 0.075,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.333 +- 0.0,0.333 +- 0.0,1.0 +- 0.0,0.5 +- 0.0,2.0 +- 0.0,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.62 +- 0.067,0.62 +- 0.067,0.943 +- 0.097,0.724 +- 0.078,4.0 +- 0.0,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.36 +- 0.08,0.36 +- 0.08,0.988 +- 0.036,0.521 +- 0.062,2.2 +- 0.6,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.333 +- 0.0,0.333 +- 0.0,1.0 +- 0.0,0.5 +- 0.0,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.593 +- 0.076,0.593 +- 0.076,0.923 +- 0.093,0.695 +- 0.086,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.36 +- 0.08,0.36 +- 0.08,0.988 +- 0.036,0.521 +- 0.062,2.2 +- 0.6,100.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.333 +- 0.0,0.333 +- 0.0,1.0 +- 0.0,0.5 +- 0.0,2.0 +- 0.0,75.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.647 +- 0.099,0.647 +- 0.099,0.909 +- 0.045,0.711 +- 0.075,3.0 +- 0.0,75.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.333 +- 0.0,0.333 +- 0.0,1.0 +- 0.0,0.5 +- 0.0,2.0 +- 0.0,50.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.667 +- 0.103,0.667 +- 0.103,0.915 +- 0.043,0.726 +- 0.078,3.0 +- 0.0,50.0
naive_bayes_2_clusters_weighted_membership_fusion,4,0.953 +- 0.06,0.953 +- 0.06,0.96 +- 0.055,0.954 +- 0.059,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_fusion,4,0.947 +- 0.083,0.947 +- 0.083,0.955 +- 0.079,0.947 +- 0.083,3.0 +- 0.0,100.0
naive_bayes_2_clusters_weighted_membership_entropy_fusion,4,0.953 +- 0.06,0.953 +- 0.06,0.96 +- 0.055,0.954 +- 0.059,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_entropy_fusion,4,0.947 +- 0.083,0.947 +- 0.083,0.955 +- 0.079,0.947 +- 0.083,3.0 +- 0.0,100.0
naive_bayes_2_clusters_cluster_density_fusion,4,0.62 +- 0.06,0.62 +- 0.06,0.933 +- 0.096,0.724 +- 0.069,2.0 +- 0.0,100.0
naive_bayes_3_clusters_cluster_density_fusion,4,0.547 +- 0.098,0.547 +- 0.098,0.883 +- 0.141,0.638 +- 0.111,3.0 +- 0.0,100.0
naive_bayes_2_clusters_entropy_voting_fusion,4,0.553 +- 0.123,0.553 +- 0.123,0.933 +- 0.096,0.669 +- 0.106,2.0 +- 0.0,100.0
