Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_majority_voting_fusion,0,0.746 +- 0.041,0.668 +- 0.067,0.541 +- 0.095,0.595 +- 0.077,2.0 +- 0.0,100.0
naive_bayes_3_clusters_majority_voting_fusion,0,0.701 +- 0.06,0.572 +- 0.079,0.665 +- 0.093,0.608 +- 0.062,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.744 +- 0.041,0.662 +- 0.072,0.549 +- 0.096,0.596 +- 0.073,2.1 +- 0.3,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.756 +- 0.046,0.668 +- 0.07,0.597 +- 0.09,0.629 +- 0.079,3.9 +- 2.948,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.746 +- 0.041,0.667 +- 0.068,0.545 +- 0.09,0.597 +- 0.074,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.757 +- 0.059,0.75 +- 0.132,0.493 +- 0.133,0.58 +- 0.109,2.1 +- 0.3,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.75 +- 0.052,0.749 +- 0.114,0.429 +- 0.12,0.538 +- 0.118,3.9 +- 2.948,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.763 +- 0.048,0.769 +- 0.11,0.459 +- 0.098,0.571 +- 0.104,2.0 +- 0.0,100.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.751 +- 0.047,0.713 +- 0.096,0.485 +- 0.08,0.575 +- 0.083,2.0 +- 0.0,75.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.732 +- 0.056,0.631 +- 0.083,0.605 +- 0.118,0.609 +- 0.078,3.0 +- 0.0,75.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.747 +- 0.043,0.715 +- 0.097,0.463 +- 0.075,0.56 +- 0.08,2.0 +- 0.0,50.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.75 +- 0.047,0.665 +- 0.071,0.579 +- 0.14,0.611 +- 0.093,3.0 +- 0.0,50.0
naive_bayes_2_clusters_weighted_membership_fusion,4,0.747 +- 0.053,0.659 +- 0.085,0.568 +- 0.104,0.608 +- 0.091,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_fusion,4,0.722 +- 0.042,0.607 +- 0.064,0.597 +- 0.095,0.598 +- 0.061,3.0 +- 0.0,100.0
naive_bayes_2_clusters_weighted_membership_entropy_fusion,4,0.749 +- 0.05,0.663 +- 0.079,0.564 +- 0.106,0.607 +- 0.09,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_entropy_fusion,4,0.702 +- 0.055,0.574 +- 0.074,0.624 +- 0.096,0.593 +- 0.068,3.0 +- 0.0,100.0
naive_bayes_2_clusters_cluster_density_fusion,4,0.714 +- 0.063,0.575 +- 0.074,0.728 +- 0.091,0.64 +- 0.072,2.0 +- 0.0,100.0
naive_bayes_3_clusters_cluster_density_fusion,4,0.701 +- 0.043,0.559 +- 0.05,0.702 +- 0.071,0.621 +- 0.051,3.0 +- 0.0,100.0
naive_bayes_2_clusters_entropy_voting_fusion,4,0.712 +- 0.053,0.59 +- 0.068,0.616 +- 0.118,0.596 +- 0.073,2.0 +- 0.0,100.0
naive_bayes_3_clusters_entropy_voting_fusion,4,0.668 +- 0.073,0.536 +- 0.089,0.683 +- 0.096,0.592 +- 0.06,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.75 +- 0.075,0.685 +- 0.141,0.56 +- 0.103,0.611 +- 0.109,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.75 +- 0.057,0.737 +- 0.147,0.466 +- 0.113,0.562 +- 0.102,3.9 +- 2.948,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.755 +- 0.058,0.697 +- 0.113,0.541 +- 0.099,0.605 +- 0.095,2.1 +- 0.3,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.75 +- 0.051,0.692 +- 0.107,0.526 +- 0.095,0.593 +- 0.087,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.749 +- 0.045,0.711 +- 0.098,0.47 +- 0.105,0.561 +- 0.1,3.9 +- 2.948,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.75 +- 0.047,0.7 +- 0.102,0.511 +- 0.085,0.586 +- 0.08,2.1 +- 0.3,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.737 +- 0.042,0.676 +- 0.096,0.492 +- 0.091,0.563 +- 0.078,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.746 +- 0.039,0.738 +- 0.11,0.429 +- 0.083,0.538 +- 0.086,3.9 +- 2.948,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.73 +- 0.042,0.668 +- 0.096,0.477 +- 0.087,0.55 +- 0.074,2.1 +- 0.3,50.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,124,0.766 +- 0.062,0.71 +- 0.12,0.556 +- 0.099,0.623 +- 0.103,2.0 +- 0.0,100.0
