Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_majority_voting_fusion,0,0.714 +- 0.035,0.714 +- 0.035,0.985 +- 0.023,0.815 +- 0.037,2.0 +- 0.0,100.0
naive_bayes_3_clusters_majority_voting_fusion,0,0.562 +- 0.081,0.562 +- 0.081,0.828 +- 0.13,0.634 +- 0.093,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.636 +- 0.125,0.636 +- 0.125,0.963 +- 0.04,0.734 +- 0.114,2.4 +- 0.49,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.46 +- 0.08,0.46 +- 0.08,0.968 +- 0.041,0.602 +- 0.052,4.2 +- 0.6,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.477 +- 0.084,0.477 +- 0.084,0.966 +- 0.037,0.61 +- 0.056,4.4 +- 0.663,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.608 +- 0.162,0.608 +- 0.162,0.978 +- 0.028,0.715 +- 0.146,2.4 +- 0.49,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.461 +- 0.096,0.461 +- 0.096,0.926 +- 0.1,0.594 +- 0.084,4.7 +- 0.458,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.455 +- 0.083,0.455 +- 0.083,0.93 +- 0.116,0.586 +- 0.078,4.1 +- 0.7,100.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.714 +- 0.035,0.714 +- 0.035,0.984 +- 0.024,0.816 +- 0.036,2.0 +- 0.0,75.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.567 +- 0.084,0.567 +- 0.084,0.877 +- 0.1,0.645 +- 0.095,3.0 +- 0.0,75.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.714 +- 0.035,0.714 +- 0.035,0.981 +- 0.028,0.819 +- 0.033,2.0 +- 0.0,50.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.482 +- 0.123,0.482 +- 0.123,0.879 +- 0.114,0.588 +- 0.095,3.0 +- 0.0,50.0
naive_bayes_2_clusters_weighted_membership_fusion,4,0.961 +- 0.043,0.961 +- 0.043,0.968 +- 0.036,0.961 +- 0.043,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_fusion,4,0.955 +- 0.033,0.955 +- 0.033,0.963 +- 0.026,0.955 +- 0.033,3.0 +- 0.0,100.0
naive_bayes_2_clusters_weighted_membership_entropy_fusion,4,0.967 +- 0.037,0.967 +- 0.037,0.971 +- 0.033,0.967 +- 0.037,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_entropy_fusion,4,0.899 +- 0.089,0.899 +- 0.089,0.946 +- 0.04,0.909 +- 0.073,3.0 +- 0.0,100.0
naive_bayes_2_clusters_cluster_density_fusion,4,0.686 +- 0.058,0.686 +- 0.058,0.961 +- 0.042,0.79 +- 0.053,2.0 +- 0.0,100.0
naive_bayes_3_clusters_cluster_density_fusion,4,0.483 +- 0.114,0.483 +- 0.114,0.954 +- 0.042,0.6 +- 0.079,3.0 +- 0.0,100.0
naive_bayes_2_clusters_entropy_voting_fusion,4,0.681 +- 0.057,0.681 +- 0.057,0.961 +- 0.042,0.786 +- 0.052,2.0 +- 0.0,100.0
naive_bayes_3_clusters_entropy_voting_fusion,4,0.438 +- 0.085,0.438 +- 0.085,0.986 +- 0.043,0.595 +- 0.064,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.894 +- 0.084,0.894 +- 0.084,0.935 +- 0.049,0.899 +- 0.08,4.5 +- 0.5,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.9 +- 0.078,0.9 +- 0.078,0.938 +- 0.048,0.904 +- 0.074,4.3 +- 0.64,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.956 +- 0.042,0.956 +- 0.042,0.965 +- 0.031,0.956 +- 0.041,2.4 +- 0.49,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.894 +- 0.072,0.894 +- 0.072,0.932 +- 0.044,0.899 +- 0.069,4.1 +- 0.7,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.894 +- 0.072,0.894 +- 0.072,0.933 +- 0.044,0.899 +- 0.069,4.5 +- 0.5,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.95 +- 0.058,0.95 +- 0.058,0.962 +- 0.042,0.951 +- 0.055,2.4 +- 0.49,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.866 +- 0.075,0.866 +- 0.075,0.924 +- 0.04,0.875 +- 0.067,4.3 +- 0.64,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.877 +- 0.11,0.877 +- 0.11,0.932 +- 0.04,0.887 +- 0.092,4.6 +- 0.49,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.961 +- 0.043,0.961 +- 0.043,0.97 +- 0.032,0.961 +- 0.043,2.5 +- 0.5,50.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,124,0.608 +- 0.127,0.608 +- 0.127,0.969 +- 0.041,0.714 +- 0.108,4.6 +- 0.49,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,124,0.601 +- 0.129,0.601 +- 0.129,0.958 +- 0.045,0.701 +- 0.097,4.7 +- 0.458,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,124,0.906 +- 0.151,0.906 +- 0.151,0.972 +- 0.037,0.927 +- 0.109,2.4 +- 0.49,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.603 +- 0.15,0.603 +- 0.15,0.938 +- 0.043,0.688 +- 0.106,4.4 +- 0.49,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.63 +- 0.139,0.63 +- 0.139,0.928 +- 0.055,0.702 +- 0.09,4.4 +- 0.49,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.922 +- 0.122,0.922 +- 0.122,0.969 +- 0.034,0.936 +- 0.09,2.4 +- 0.49,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.625 +- 0.176,0.625 +- 0.176,0.94 +- 0.069,0.711 +- 0.139,4.3 +- 0.64,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.575 +- 0.16,0.575 +- 0.16,0.944 +- 0.046,0.666 +- 0.121,4.7 +- 0.458,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.844 +- 0.191,0.844 +- 0.191,0.941 +- 0.076,0.872 +- 0.155,2.4 +- 0.49,50.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,124,0.461 +- 0.096,0.461 +- 0.096,0.912 +- 0.122,0.581 +- 0.093,4.5 +- 0.5,100.0
